t x y
4.650000 61.486845 53.151080
4.675000 60.625894 53.960200
4.700000 59.755431 54.754368
4.725000 58.876631 55.532282
4.750000 57.990673 56.292674
4.775000 57.098742 57.034310
4.800000 56.202016 57.756002
4.825000 55.301668 58.456609
4.850000 54.398858 59.135042
4.875000 53.494727 59.790272
4.900000 52.590398 60.421331
4.925000 51.686965 61.027318
4.950000 50.785494 61.607396
4.975000 49.887020 62.160806
5.000000 48.992538 62.686857
5.025000 48.103008 63.184936
5.050000 47.219346 63.654506
5.075000 46.342424 64.095108
5.100000 45.473072 64.506360
5.125000 44.612069 64.887955
5.150000 43.760148 65.239665
5.175000 42.917993 65.561336
5.200000 42.086238 65.852888
5.225000 41.265470 66.114314
5.250000 40.456224 66.345674
5.275000 39.658987 66.547096
5.300000 38.874198 66.718774
5.325000 38.102250 66.860959
5.350000 37.343489 66.973964
5.375000 36.598216 67.058154
5.400000 35.866688 67.113947
5.425000 35.149123 67.141806
5.450000 34.445696 67.142240
5.475000 33.756547 67.115796
5.500000 33.081777 67.063059
5.525000 32.421453 66.984647
5.550000 31.775613 66.881206
5.575000 31.144259 66.753410
5.600000 30.527371 66.601952
5.625000 29.924897 66.427547
5.650000 29.336764 66.230925
5.675000 28.762876 66.012828
5.700000 28.203116 65.774011
5.725000 27.657347 65.515232
5.750000 27.125417 65.237257
5.775000 26.607157 64.940853
5.800000 26.102386 64.626786
5.825000 25.610910 64.295822
5.850000 25.132522 63.948721
5.875000 24.667010 63.586239
5.900000 24.214151 63.209123
5.925000 23.773716 62.818110
5.950000 23.345469 62.413929
5.975000 22.929172 61.997295
6.000000 22.524581 61.568914
6.025000 22.131452 61.129473
6.050000 21.749536 60.679649
6.075000 21.378586 60.220101
6.100000 21.018352 59.751474
6.125000 20.668587 59.274396
6.150000 20.329042 58.789478
6.175000 19.999473 58.297314
6.200000 19.679635 57.798480
6.225000 19.369286 57.293535
6.250000 19.068188 56.783022
6.275000 18.776106 56.267463
6.300000 18.492807 55.747364
6.325000 18.218063 55.223215
6.350000 17.951650 54.695485
6.375000 17.693346 54.164630
6.400000 17.442937 53.631084
6.425000 17.200210 53.095267
6.450000 16.964958 52.557583
6.475000 16.736979 52.018418
6.500000 16.516075 51.478141
6.525000 16.302052 50.937108
6.550000 16.094722 50.395658
6.575000 15.893902 49.854115
6.600000 15.699413 49.312787
6.625000 15.511080 48.771971
6.650000 15.328734 48.231947
6.675000 15.152210 47.692983
6.700000 14.981347 47.155334
6.725000 14.815990 46.619240
6.750000 14.655988 46.084930
6.775000 14.501194 45.552623
6.800000 14.351464 45.022524
6.825000 14.206662 44.494827
6.850000 14.066653 43.969715
6.875000 13.931306 43.447362
6.900000 13.800497 42.927931
6.925000 13.674102 42.411574
6.950000 13.552004 41.898436
6.975000 13.434087 41.388651
7.000000 13.320242 40.882345
7.025000 13.210360 40.379636
7.050000 13.104338 39.880634
7.075000 13.002075 39.385441
7.100000 12.903474 38.894151
7.125000 12.808440 38.406852
7.150000 12.716883 37.923625
7.175000 12.628715 37.444543
7.200000 12.543850 36.969675
7.225000 12.462206 36.499082
7.250000 12.383704 36.032821
7.275000 12.308266 35.570943
7.300000 12.235819 35.113492
7.325000 12.166290 34.660510
7.350000 12.099610 34.212033
7.375000 12.035712 33.768091
7.400000 11.974531 33.328711
7.425000 11.916004 32.893917
7.450000 11.860072 32.463728
7.475000 11.806675 32.038157
7.500000 11.755758 31.617218
7.525000 11.707265 31.200918
7.550000 11.661145 30.789262
7.575000 11.617345 30.382252
7.600000 11.575819 29.979887
7.625000 11.536517 29.582163
7.650000 11.499395 29.189075
7.675000 11.464407 28.800614
7.700000 11.431513 28.416768
