t x y
4.650000 63.100325 52.938528
4.675000 62.228131 53.800509
4.700000 61.343855 54.649545
4.725000 60.448707 55.484192
4.750000 59.543918 56.303028
4.775000 58.630731 57.104656
4.800000 57.710398 57.887713
4.825000 56.784177 58.650875
4.850000 55.853320 59.392861
4.875000 54.919073 60.112445
4.900000 53.982670 60.808455
4.925000 53.045326 61.479783
4.950000 52.108232 62.125386
4.975000 51.172555 62.744293
5.000000 50.239427 63.335609
5.025000 49.309946 63.898515
5.050000 48.385171 64.432273
5.075000 47.466117 64.936229
5.100000 46.553757 65.409810
5.125000 45.649012 65.852530
5.150000 44.752756 66.263989
5.175000 43.865810 66.643869
5.200000 42.988944 66.991940
5.225000 42.122872 67.308051
5.250000 41.268257 67.592134
5.275000 40.425706 67.844202
5.300000 39.595770 68.064342
5.325000 38.778951 68.252715
5.350000 37.975695 68.409552
5.375000 37.186396 68.535154
5.400000 36.411401 68.629882
5.425000 35.651006 68.694157
5.450000 34.905459 68.728458
5.475000 34.174964 68.733313
5.500000 33.459682 68.709298
5.525000 32.759733 68.657032
5.550000 32.075197 68.577173
5.575000 31.406117 68.470415
5.600000 30.752503 68.337481
5.625000 30.114331 68.179122
5.650000 29.491548 67.996111
5.675000 28.884074 67.789243
5.700000 28.291801 67.559325
5.725000 27.714601 67.307179
5.750000 27.152321 67.033635
5.775000 26.604790 66.739531
5.800000 26.071822 66.425705
5.825000 25.553213 66.092999
5.850000 25.048745 65.742250
5.875000 24.558190 65.374292
5.900000 24.081309 64.989954
5.925000 23.617852 64.590055
5.950000 23.167566 64.175404
5.975000 22.730187 63.746799
6.000000 22.305449 63.305024
6.025000 21.893082 62.850851
6.050000 21.492814 62.385033
6.075000 21.104368 61.908310
6.100000 20.727471 61.421402
6.125000 20.361846 60.925012
6.150000 20.007219 60.419826
6.175000 19.663316 59.906508
6.200000 19.329867 59.385705
6.225000 19.006603 58.858044
6.250000 18.693258 58.324130
6.275000 18.389570 57.784552
6.300000 18.095281 57.239875
6.325000 17.810136 56.690646
6.350000 17.533887 56.137392
6.375000 17.266288 55.580621
6.400000 17.007099 55.020819
6.425000 16.756085 54.458456
6.450000 16.513016 53.893980
6.475000 16.277667 53.327823
6.500000 16.049821 52.760397
6.525000 15.829261 52.192096
6.550000 15.615781 51.623297
6.575000 15.409176 51.054361
6.600000 15.209250 50.485629
6.625000 15.015811 49.917430
6.650000 14.828671 49.350073
6.675000 14.647650 48.783854
6.700000 14.472570 48.219054
6.725000 14.303262 47.655939
6.750000 14.139559 47.094760
6.775000 13.981300 46.535757
6.800000 13.828329 45.979155
6.825000 13.680496 45.425165
6.850000 13.537653 44.873989
6.875000 13.399660 44.325815
6.900000 13.266379 43.780821
6.925000 13.137677 43.239172
6.950000 13.013425 42.701024
6.975000 12.893501 42.166523
7.000000 12.777782 41.635805
7.025000 12.666154 41.108997
7.050000 12.558504 40.586215
7.075000 12.454723 40.067570
7.100000 12.354706 39.553161
7.125000 12.258353 39.043082
7.150000 12.165565 38.537417
7.175000 12.076247 38.036246
7.200000 11.990309 37.539639
7.225000 11.907662 37.047660
7.250000 11.828220 36.560369
7.275000 11.751903 36.077817
7.300000 11.678629 35.600051
7.325000 11.608324 35.127111
7.350000 11.540912 34.659035
7.375000 11.476322 34.195853
7.400000 11.414486 33.737590
7.425000 11.355338 33.284269
7.450000 11.298812 32.835907
7.475000 11.244847 32.392518
7.500000 11.193383 31.954111
7.525000 11.144363 31.520692
7.550000 11.097732 31.092263
7.575000 11.053435 30.668823
7.600000 11.011421 30.250369
7.625000 10.971641 29.836894
7.650000 10.934045 29.428388
7.675000 10.898589 29.024839
7.700000 10.865226 28.626232
7.725000 10.833915 28.232550
7.750000 10.804613 27.843773
7.775000 10.777280 27.459882
7.800000 10.751879 27.080851
7.825000 10.728371 26.706657
7.850000 10.706721 26.337272
7.875000 10.686895 25.972668
7.900000 10.668859 25.612816
7.925000 10.652580 25.257684
7.950000 10.638029 24.907240
7.975000 10.625176 24.561449
8.000000 10.613991 24.220278
8.025000 10.604448 23.883690
8.050000 10.596520 23.551648
8.075000 10.590180 23.224115
8.100000 10.585406 22.901053
8.125000 10.582172 22.582421
8.150000 10.580457 22.268181
8.175000 10.580238 21.958292
8.200000 10.581495 21.652713
8.225000 10.584206 21.351401
8.250000 10.588354 21.054316
8.275000 10.593919 20.761415
8.300000 10.600883 20.472655
8.325000 10.609229 20.187993
8.350000 10.618941 19.907386
8.375000 10.630002 19.630791
8.400000 10.642398 19.358163
8.425000 10.656115 19.089460
8.450000 10.671137 18.824637
8.475000 10.687452 18.563650
8.500000 10.705048 18.306456
8.525000 10.723911 18.053011
8.550000 10.744030 17.803270
8.575000 10.765395 17.557190
8.600000 10.787995 17.314727
8.625000 10.811819 17.075837
8.650000 10.836857 16.840477
8.675000 10.863102 16.608604
8.700000 10.890544 16.380174
8.725000 10.919174 16.155144
8.750000 10.948985 15.933472
8.775000 10.979970 15.715114
8.800000 11.012122 15.500029
8.825000 11.045433 15.288174
8.850000 11.079899 15.079508
8.875000 11.115512 14.873988
8.900000 11.152268 14.671574
8.925000 11.190161 14.472225
8.950000 11.229186 14.275900
8.975000 11.269340 14.082558
9.000000 11.310618 13.892160
9.025000 11.353016 13.704666
9.050000 11.396531 13.520037
9.075000 11.441160 13.338233
9.100000 11.486899 13.159216
9.125000 11.533747 12.982948
9.150000 11.581700 12.809391
9.175000 11.630758 12.638507
9.200000 11.680918 12.470259
9.225000 11.732178 12.304610
9.250000 11.784538 12.141525
9.275000 11.837996 11.980967
9.300000 11.892552 11.822900
9.325000 11.948206 11.667290
9.350000 12.004956 11.514101
9.375000 12.062804 11.363299
9.400000 12.121749 11.214850
9.425000 12.181792 11.068721
9.450000 12.242933 10.924877
9.475000 12.305174 10.783288
9.500000 12.368515 10.643919
9.525000 12.432958 10.506739
9.550000 12.498504 10.371716
9.575000 12.565155 10.238820
9.600000 12.632913 10.108018
9.625000 12.701780 9.979282
9.650000 12.771759 9.852580
9.675000 12.842850 9.727884
9.700000 12.915059 9.605163
9.725000 12.988386 9.484389
9.750000 13.062836 9.365534
9.775000 13.138411 9.248569
9.800000 13.215115 9.133467
9.825000 13.292951 9.020200
9.850000 13.371924 8.908741
9.875000 13.452036 8.799064
9.900000 13.533292 8.691143
9.925000 13.615696 8.584952
9.950000 13.699252 8.480464
9.975000 13.783965 8.377656
10.000000 13.869840 8.276503
10.025000 13.956882 8.176979
10.050000 14.045094 8.079061
10.075000 14.134483 7.982726
10.100000 14.225053 7.887950
10.125000 14.316811 7.794709
10.150000 14.409761 7.702983
10.175000 14.503910 7.612747
10.200000 14.599262 7.523980
10.225000 14.695825 7.436661
10.250000 14.793604 7.350769
10.275000 14.892605 7.266281
10.300000 14.992834 7.183179
10.325000 15.094299 7.101440
10.350000 15.197006 7.021047
10.375000 15.300962 6.941977
10.400000 15.406173 6.864214
10.425000 15.512647 6.787737
10.450000 15.620390 6.712527
10.475000 15.729410 6.638566
10.500000 15.839715 6.565837
10.525000 15.951312 6.494321
10.550000 16.064208 6.424000
10.575000 16.178412 6.354858
10.600000 16.293931 6.286878
10.625000 16.410773 6.220042
10.650000 16.528947 6.154335
10.675000 16.648460 6.089740
10.700000 16.769322 6.026241
10.725000 16.891540 5.963824
10.750000 17.015123 5.902471
10.775000 17.140080 5.842170
10.800000 17.266420 5.782904
10.825000 17.394152 5.724660
10.850000 17.523284 5.667423
10.875000 17.653827 5.611179
10.900000 17.785788 5.555914
10.925000 17.919179 5.501615
